time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_coef,rt_soc_l1_prev,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
345600.0,95,0.03162807384403107,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1346004.418316634,5723.66965000052,0.03656366211104652,-5723.66965000052,-0.03656366211104652,156539.83544146415,0.0,0.0,0.03162807384403107,0.05589838254027368,0.0031246291706187737,0.05,0.0,-0.004935588267015456,2.0,0.053430588406765955,-91284.87142773018,0.0,-0.0,-754844.637090606,0.0,-0.0,-5759999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,10780349.420549976,121381.65175000206,-121381.65175000206,-2828215.4937150287,-55657.982100001536,55657.982100001536,0.5,0.7941015958786011,0.5,0.5,7941016.0,262.193359375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-79457928.0,0.0,0.0,-0.0,-0.0,229457936.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
349200.0,96,0.04103410025661719,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1353058.6252966328,7054.206979998853,0.045063334582568115,-7054.206979998853,-0.045063334582568115,156539.83544146415,0.0,0.0,0.04103410025661719,0.057912999703249146,0.0033539155346285357,0.05,0.0,-0.0040292343259509256,2.0,0.05589838254027368,-91284.87142773018,0.0,-0.0,-754844.637090606,0.0,-0.0,-5819999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,10895078.38564997,114728.9650999941,-114728.9650999941,-2875890.251835031,-47674.758120002225,47674.758120002225,0.5,0.7920870184898376,0.5,0.5,7920870.0,261.5281982421875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-75412056.0,0.0,0.0,-0.0,-0.0,225412064.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
352800.0,97,0.04462947567271539,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1360517.4193166327,7458.794019999914,0.04764789741195955,-7458.794019999914,-0.04764789741195955,156539.83544146415,0.0,0.0,0.04462947567271539,0.059422210572871226,0.003530999109366649,0.05,0.0,-0.0030184217392441592,2.0,0.057912999703249146,-91284.87142773018,0.0,-0.0,-754844.637090606,0.0,-0.0,-5879999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,11007784.415549966,112706.02989999577,-112706.02989999577,-2921137.4877150315,-45247.23588000052,45247.23588000052,0.5,0.79057776927948,0.5,0.5,7905778.0,261.0298767089844,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-92671528.0,0.0,0.0,-0.0,-0.0,242671520.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
356400.0,98,0.03457218118968842,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1366250.2668166338,5732.84750000108,0.03662229159647224,-5732.84750000108,-0.03662229159647224,156539.83544146415,0.0,0.0,0.03457218118968842,0.06044726577626314,0.0036538719398261925,0.05,0.0,-0.0020501104067838227,2.0,0.059422210572871226,-91284.87142773018,0.0,-0.0,-754844.637090606,0.0,-0.0,-5939999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,11129120.178049965,121335.76249999925,-121335.76249999925,-2976740.4027150297,-55602.914999998175,55602.914999998175,0.5,0.7895527482032776,0.5,0.5,7895527.5,260.6914367675781,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-84189920.0,0.0,0.0,-0.0,-0.0,234189920.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
360000.0,99,0.04066141734991221,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1372831.2751066326,6581.008289998863,0.04204047021922249,-6581.008289998863,-0.04204047021922249,156539.83544146415,0.0,0.0,0.04066141734991221,0.06113679221091828,0.003737707361840998,0.05,0.0,-0.0013790528693102821,2.0,0.06044726577626314,-91284.87142773018,0.0,-0.0,-754844.637090606,0.0,-0.0,-5999999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,11246215.136599964,117094.9585499987,-117094.9585499987,-3027254.352975032,-50513.950260002166,50513.950260002166,0.5,0.7888631820678711,0.5,0.5,7888632.0,260.4637756347656,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-55316912.0,0.0,0.0,-0.0,-0.0,205316912.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
363600.0,100,0.059952926268343754,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1382299.5838266322,9468.308719999623,0.06048497938750014,-9468.308719999623,-0.06048497938750014,156539.83544146415,0.0,0.0,0.059952926268343754,0.06140281877049647,0.0037703061529624337,0.05,0.0,-0.0005320531191563838,2.0,0.06113679221091828,-91284.87142773018,0.0,-0.0,-754844.637090606,0.0,-0.0,-6059999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,11348873.592999963,102658.45639999956,-102658.45639999956,-3060444.500655034,-33190.147680002265,33190.147680002265,0.5,0.7885971665382385,0.5,0.5,7885972.0,260.3759460449219,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-75097840.0,0.0,0.0,-0.0,-0.0,225097840.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
367200.0,101,0.04840045177405118,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1389789.799676632,7490.215849999804,0.0478486247853548,-7490.215849999804,-0.0478486247853548,156539.83544146415,0.0,0.0,0.04840045177405118,0.06112690527614828,0.0037364985486392044,0.05,0.0,0.00055182698869638,2.0,0.06140281877049647,-91284.87142773018,0.0,-0.0,-754844.637090606,0.0,-0.0,-6119999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,11461422.513749966,112548.92075000331,-112548.92075000331,-3105503.2055550353,-45058.704900001176,45058.704900001176,0.5,0.7888730764389038,0.5,0.5,7888731.0,260.467041015625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-50958332.0,0.0,0.0,-0.0,-0.0,200958336.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
370800.0,102,0.07674411168533386,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1401524.9160203575,11735.116343725473,0.07496568723629234,-11735.116343725473,-0.07496568723629234,156539.83544146415,0.0,0.0,0.07674411168533386,0.06023769305162752,0.003628579664182094,0.05,0.0,0.0017784244490415269,2.0,0.06112690527614828,-91284.87142773018,0.0,-0.0,-756152.4582861242,-1307.8211955181323,1307.8211955181323,-6179999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,11561901.680399975,100479.16665000841,-100479.16665000841,-3132939.4346657908,-27436.229110755492,27436.229110755492,0.5,0.7897623181343079,0.5,0.5,7897623.0,260.7606201171875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-60525060.0,0.0,0.0,-11605410.0,-11605410.0,222130464.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
374400.0,103,0.12902985143700116,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1420985.1847758086,19460.268755451078,0.12431512209381343,-19460.268755451078,-0.12431512209381343,156539.83544146415,0.0,0.0,0.12902985143700116,0.05788032838003365,0.003350132413380529,0.05,0.0,0.004714729343187729,2.0,0.06023769305162752,-91284.87142773018,0.0,-0.0,-764490.5409114464,-8338.082625322277,8338.082625322277,-6239999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,11672966.914999982,111065.23460000753,-111065.23460000753,-3156206.3178850175,-23266.88321922673,23266.88321922673,0.5,0.7921196818351746,0.5,0.5,7921196.5,261.5389709472656,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-35719804.0,0.0,0.0,-59638968.0,-59638968.0,245358768.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
378000.0,104,0.21587925195056146,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1453398.8428395272,32413.658063718583,0.20706332015941853,-32413.658063718583,-0.20706332015941853,156539.83544146415,0.0,0.0,0.21587925195056146,0.05347236248446219,0.002859293549669719,0.05,0.0,0.008815931791142928,2.0,0.05788032838003365,-91284.87142773018,0.0,-0.0,-783740.2089283883,-19249.66801694187,19249.66801694187,-6299999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,11795646.30079999,122679.38580000773,-122679.38580000773,-3167222.3776043574,-11016.059719339944,11016.059719339944,0.5,0.796527624130249,0.5,0.5,7965276.5,262.994384765625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,45684052.0,0.0,0.0,-97917536.0,-97917536.0,202233488.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
381600.0,105,0.1364591223092002,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1472920.9833616868,19522.140522159636,0.12471036824016378,-19522.140522159636,-0.12471036824016378,156539.83544146415,0.0,0.0,0.1364591223092002,0.04759798544994398,0.002265568218893079,0.05,1.0,0.011748754069036416,2.0,0.05347236248446219,-91284.87142773018,0.0,-0.0,-811025.6288581219,-27285.419929733616,27285.419929733616,-6359999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,11896763.041399991,101116.74060000107,-101116.74060000107,-3161531.557752464,5690.819851893466,-5690.819851893466,0.5,0.8024020195007324,0.5,0.5,8024020.0,264.9339599609375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,25415552.0,0.0,0.0,-122675096.0,-122675096.0,247259536.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
385200.0,106,0.23507681772291764,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1507787.9188213535,34866.93545966665,0.22273522494345951,-34866.93545966665,-0.22273522494345951,156539.83544146415,0.0,0.0,0.23507681772291764,0.04142718906021492,0.0017162119934307908,0.05,1.0,0.012341592779458121,2.0,0.04759798544994398,-91284.87142773018,0.0,-0.0,-842753.7632253444,-31728.134367222432,31728.134367222432,-6419999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,12020392.811499996,123629.77010000497,-123629.77010000497,-3158566.2580255745,2965.2997268894687,-2965.2997268894687,0.5,0.8085728287696838,0.5,0.5,8085728.0,266.9714050292969,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,73031032.0,0.0,0.0,-132050056.0,-132050056.0,209019024.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
388800.0,107,0.13485028075919997,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1527074.2151221598,19286.296300806338,0.12320375990185689,-19286.296300806338,-0.12320375990185689,156539.83544146415,0.0,0.0,0.13485028075919997,0.03560392863154338,0.0012676397340000345,0.05,1.0,0.011646520857343079,2.0,0.04142718906021492,-91284.87142773018,0.0,-0.0,-874955.9480573337,-32202.184831989347,32202.184831989347,-6479999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,12124902.320499992,104509.50899999589,-104509.50899999589,-3151587.285892778,6978.972132796422,-6978.972132796422,0.5,0.81439608335495,0.5,0.5,8143960.5,268.89410400390625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,56373236.0,0.0,0.0,-124868640.0,-124868640.0,218495408.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
392400.0,108,0.1714021448942021,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1552229.1322023005,25154.917080140673,0.1606933916162637,-25154.917080140673,-0.1606933916162637,156539.83544146415,0.0,0.0,0.1714021448942021,0.030249551992574175,0.0009150353957514482,0.05,1.0,0.01070875327793841,2.0,0.03560392863154338,-91284.87142773018,0.0,-0.0,-903694.6911237657,-28738.743066431955,28738.743066431955,-6539999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,12234150.02414999,109247.70364999771,-109247.70364999771,-3146941.3293962055,4645.956496572588,-4645.956496572588,0.5,0.8197504281997681,0.5,0.5,8197504.5,270.6619873046875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,42607740.0,0.0,-0.0,-102869696.0,-102869696.0,210261952.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
396000.0,109,0.1735992112183603,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1578083.2494973354,25854.11729503493,0.16515998769337348,-25854.11729503493,-0.16515998769337348,156539.83544146415,0.0,0.0,0.1735992112183603,0.02602994023008076,0.0006775577883815769,0.05,1.0,0.008439223524986827,2.0,0.030249551992574175,-91284.87142773018,0.0,-0.0,-925779.1316987076,-22084.440574941924,22084.440574941924,-6599999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,12339281.001199981,105130.97704999149,-105130.97704999149,-3144133.7485762285,2807.5808199769817,-2807.5808199769817,0.5,0.8239700794219971,0.5,0.5,8239700.5,272.05517578125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,15748303.0,0.0,0.0,-70527592.0,-70527592.0,204779296.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
399600.0,110,0.16939536553833842,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,1603936.683732804,25853.434235468507,0.1651556242061851,-25853.434235468507,-0.1651556242061851,156539.83544146415,0.0,0.0,0.16939536553833842,0.0239100695640041,0.0005716914265555152,0.05,1.0,0.004239741332153324,2.0,0.02602994023008076,-91284.87142773018,0.0,-0.0,-938825.4487944557,-13046.317095748149,13046.317095748149,-6659999.999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,12441670.647299973,102389.6460999921,-102389.6460999921,-3147623.643345012,-3489.894768783357,3489.894768783357,0.5,0.8260899186134338,0.5,0.5,8260899.5,272.755126953125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-42072916.0,0.0,0.0,-29564132.0,-29564132.0,221637040.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
