time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_raw_grid_cost,rt_raw_thermal_cost,rt_raw_battery_cost,rt_raw_caes_cost,rt_raw_curtailment_cost,rt_raw_unserved_cost,rt_raw_ramp_cost,rt_raw_total_cost,rt_cost_reference,rt_cost_reference_missing,rt_normalized_cost,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed
75600.0,20,-0.5436038713097477,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-7705.782340000001,60000.0,0.0,0.0,-0.0,0.0,0.0,52294.21766,96199.12664345714,0.0,0.5436038713097477,0.0,-0.5436038713097477,0.04706628092566767,0.002215234800173868,0.05,1.0,0.5,0.8029336929321289,0.5,0.5,8029337.0,265.1096496582031,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-77057824.0,0.0,0.0,-0.0,-0.0,227057824.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
79200.0,21,-0.551288194086812,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-6966.557199999999,60000.0,0.0,0.0,-0.0,0.0,0.0,53033.442800000004,96199.12664345714,0.0,0.551288194086812,0.0,-0.551288194086812,0.049726629209789985,0.0024727376525679385,0.05,1.0,0.5,0.8002733588218689,0.5,0.5,8002733.5,264.23126220703125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-69665568.0,0.0,0.0,-0.0,-0.0,219665568.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
82800.0,22,-0.5498770101734366,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-7102.311859999999,60000.0,0.0,0.0,-0.0,0.0,0.0,52897.68814,96199.12664345714,0.0,0.5498770101734366,0.0,-0.5498770101734366,0.05280551275243217,0.0027884221770472766,0.05,0.0,0.5,0.7971944808959961,0.5,0.5,7971945.0,263.2146911621094,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-71023120.0,0.0,0.0,-0.0,-0.0,221023120.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
86400.0,23,-0.5646037755758994,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-5685.609890000001,60000.0,0.0,0.0,-0.0,0.0,0.0,54314.39011,96199.12664345714,0.0,0.5646037755758994,0.0,-0.5646037755758994,0.05581906713145124,0.00311576825542546,0.05,0.0,0.5,0.7941809296607971,0.5,0.5,7941809.5,262.21966552734375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-56856100.0,0.0,0.0,-0.0,-0.0,206856096.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
90000.0,24,-0.5565446639493103,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-6460.88939,60000.0,0.0,0.0,-0.0,0.0,0.0,53539.11061,96199.12664345714,0.0,0.5565446639493103,0.0,-0.5565446639493103,0.058560442342893704,0.003429325407395378,0.05,0.0,0.5,0.7914395332336426,0.5,0.5,7914395.5,261.3145446777344,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-64608892.0,0.0,0.0,-0.0,-0.0,214608896.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
93600.0,25,-0.5713501343282544,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-5036.616069999999,60000.0,0.0,0.0,-0.0,0.0,0.0,54963.38393,96199.12664345714,0.0,0.5713501343282544,0.0,-0.5713501343282544,0.061010337852794416,0.003722261324912119,0.05,0.0,0.5,0.7889896631240845,0.5,0.5,7889896.5,260.5056457519531,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-50366160.0,0.0,0.0,-0.0,-0.0,200366160.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
97200.0,26,-0.5232531275108366,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-9663.506119999998,60000.0,0.0,0.0,-0.0,0.0,0.0,50336.49388,96199.12664345714,0.0,0.5232531275108366,0.0,-0.5232531275108366,0.06315055072447995,0.0039879920568051145,0.05,0.0,0.5,0.7868494391441345,0.5,0.5,7868494.5,259.7989807128906,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-96635064.0,0.0,0.0,-0.0,-0.0,246635056.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
100800.0,27,-0.5400642303391802,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-8046.292709999999,60000.0,0.0,0.0,-0.0,0.0,0.0,51953.70729,96199.12664345714,0.0,0.5400642303391802,0.0,-0.5400642303391802,0.06498419340221773,0.004222945392136838,0.05,0.0,0.5,0.7850158214569092,0.5,0.5,7850158.0,259.1935729980469,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-80462928.0,0.0,0.0,-0.0,-0.0,230462928.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
104400.0,28,-0.5253766150842437,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-9459.228469999998,60000.0,0.0,0.0,-0.0,0.0,0.0,50540.77153,96199.12664345714,0.0,0.5253766150842437,0.0,-0.5253766150842437,0.06635808927684073,0.004403396012473164,0.05,0.0,0.5,0.7836419343948364,0.5,0.5,7836419.0,258.73992919921875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-94592288.0,0.0,0.0,-0.0,-0.0,244592288.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
108000.0,29,-0.5498581707092624,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-7104.124199999999,60000.0,0.0,0.0,-0.0,0.0,0.0,52895.8758,96199.12664345714,0.0,0.5498581707092624,0.0,-0.5498581707092624,0.0671375424161963,0.004507449601686557,0.05,0.0,0.5,0.7828624844551086,0.5,0.5,7828624.5,258.4825744628906,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-71041240.0,0.0,0.0,-0.0,-0.0,221041248.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
