time,buy_yuan_per_kwh,sell_yuan_per_kwh,band
1461600,0.63457,0.1875,F
1465200,0.63457,0.1875,F
1468800,0.63457,0.1875,F
1472400,0.63457,0.1875,F
1476000,0.28359,0.1875,V
1479600,0.28359,0.1875,V
1483200,0.28359,0.1875,V
1486800,0.28359,0.1875,V
1490400,0.63457,0.1875,F
1494000,0.98555,0.1875,P
1497600,0.98555,0.1875,P
1501200,0.63457,0.1875,F
1504800,0.28359,0.1875,V
1508400,0.18331,0.1875,D
1512000,0.18331,0.1875,D
1515600,0.18331,0.1875,D
1519200,0.28359,0.1875,V
1522800,0.63457,0.1875,F
1526400,1.13597,0.1875,S
1530000,1.13597,0.1875,S
1533600,1.13597,0.1875,S
1537200,0.98555,0.1875,P
1540800,0.98555,0.1875,P
1544400,0.63457,0.1875,F
1548000,0.63457,0.1875,F
1551600,0.63457,0.1875,F
1555200,0.63457,0.1875,F
1558800,0.63457,0.1875,F
1562400,0.28359,0.1875,V
1566000,0.28359,0.1875,V
1569600,0.28359,0.1875,V
1573200,0.28359,0.1875,V
1576800,0.63457,0.1875,F
1580400,0.98555,0.1875,P
1584000,0.98555,0.1875,P
1587600,0.63457,0.1875,F
1591200,0.28359,0.1875,V
1594800,0.18331,0.1875,D
1598400,0.18331,0.1875,D
1602000,0.18331,0.1875,D
1605600,0.28359,0.1875,V
1609200,0.63457,0.1875,F
1612800,1.13597,0.1875,S
1616400,1.13597,0.1875,S
1620000,1.13597,0.1875,S
1623600,0.98555,0.1875,P
1627200,0.98555,0.1875,P
1630800,0.63457,0.1875,F
1634400,0.63457,0.1875,F
1638000,0.63457,0.1875,F
1641600,0.63457,0.1875,F
1645200,0.63457,0.1875,F
1648800,0.28359,0.1875,V
1652400,0.28359,0.1875,V
1656000,0.28359,0.1875,V
1659600,0.28359,0.1875,V
1663200,0.63457,0.1875,F
1666800,0.98555,0.1875,P
1670400,0.98555,0.1875,P
1674000,0.63457,0.1875,F
1677600,0.28359,0.1875,V
1681200,0.18331,0.1875,D
1684800,0.18331,0.1875,D
1688400,0.18331,0.1875,D
1692000,0.28359,0.1875,V
1695600,0.63457,0.1875,F
1699200,1.13597,0.1875,S
1702800,1.13597,0.1875,S
1706400,1.13597,0.1875,S
1710000,0.98555,0.1875,P
1713600,0.98555,0.1875,P
1717200,0.63457,0.1875,F
1720800,0.63457,0.1875,F
1724400,0.63457,0.1875,F
1728000,0.63457,0.1875,F
1731600,0.63457,0.1875,F
1735200,0.28359,0.1875,V
1738800,0.28359,0.1875,V
1742400,0.28359,0.1875,V
1746000,0.28359,0.1875,V
1749600,0.63457,0.1875,F
1753200,0.98555,0.1875,P
1756800,0.98555,0.1875,P
1760400,0.63457,0.1875,F
1764000,0.28359,0.1875,V
1767600,0.18331,0.1875,D
1771200,0.18331,0.1875,D
1774800,0.18331,0.1875,D
1778400,0.28359,0.1875,V
1782000,0.63457,0.1875,F
1785600,1.13597,0.1875,S
1789200,1.13597,0.1875,S
1792800,1.13597,0.1875,S
1796400,0.98555,0.1875,P
1800000,0.98555,0.1875,P
1803600,0.63457,0.1875,F
1807200,0.63457,0.1875,F
1810800,0.63457,0.1875,F
1814400,0.63457,0.1875,F
1818000,0.63457,0.1875,F
1821600,0.28359,0.1875,V
1825200,0.28359,0.1875,V
1828800,0.28359,0.1875,V
1832400,0.28359,0.1875,V
1836000,0.63457,0.1875,F
1839600,0.98555,0.1875,P
1843200,0.98555,0.1875,P
1846800,0.63457,0.1875,F
1850400,0.28359,0.1875,V
1854000,0.18331,0.1875,D
1857600,0.18331,0.1875,D
1861200,0.18331,0.1875,D
1864800,0.28359,0.1875,V
1868400,0.63457,0.1875,F
1872000,1.13597,0.1875,S
1875600,1.13597,0.1875,S
1879200,1.13597,0.1875,S
1882800,0.98555,0.1875,P
1886400,0.98555,0.1875,P
1890000,0.63457,0.1875,F
1893600,0.63457,0.1875,F
1897200,0.63457,0.1875,F
1900800,0.63457,0.1875,F
1904400,0.63457,0.1875,F
1908000,0.28359,0.1875,V
1911600,0.28359,0.1875,V
1915200,0.28359,0.1875,V
1918800,0.28359,0.1875,V
1922400,0.63457,0.1875,F
1926000,0.98555,0.1875,P
1929600,0.98555,0.1875,P
1933200,0.63457,0.1875,F
1936800,0.28359,0.1875,V
1940400,0.18331,0.1875,D
1944000,0.18331,0.1875,D
1947600,0.18331,0.1875,D
1951200,0.28359,0.1875,V
1954800,0.63457,0.1875,F
1958400,1.13597,0.1875,S
1962000,1.13597,0.1875,S
1965600,1.13597,0.1875,S
1969200,0.98555,0.1875,P
1972800,0.98555,0.1875,P
1976400,0.63457,0.1875,F
1980000,0.63457,0.1875,F
1983600,0.63457,0.1875,F
1987200,0.63457,0.1875,F
1990800,0.63457,0.1875,F
1994400,0.28359,0.1875,V
1998000,0.28359,0.1875,V
2001600,0.28359,0.1875,V
2005200,0.28359,0.1875,V
2008800,0.63457,0.1875,F
2012400,0.98555,0.1875,P
2016000,0.98555,0.1875,P
2019600,0.63457,0.1875,F
2023200,0.28359,0.1875,V
2026800,0.18331,0.1875,D
2030400,0.18331,0.1875,D
2034000,0.18331,0.1875,D
2037600,0.28359,0.1875,V
2041200,0.63457,0.1875,F
2044800,1.13597,0.1875,S
2048400,1.13597,0.1875,S
2052000,1.13597,0.1875,S
2055600,0.98555,0.1875,P
2059200,0.98555,0.1875,P
2062800,0.63457,0.1875,F
2066400,0.63457,0.1875,F
2070000,0.63457,0.1875,F
2073600,0.63457,0.1875,F
2077200,0.63457,0.1875,F
2080800,0.28359,0.1875,V
2084400,0.28359,0.1875,V
2088000,0.28359,0.1875,V
2091600,0.28359,0.1875,V
2095200,0.63457,0.1875,F
2098800,0.98555,0.1875,P
2102400,0.98555,0.1875,P
2106000,0.63457,0.1875,F
2109600,0.28359,0.1875,V
2113200,0.18331,0.1875,D
2116800,0.18331,0.1875,D
2120400,0.18331,0.1875,D
2124000,0.28359,0.1875,V
2127600,0.63457,0.1875,F
2131200,1.13597,0.1875,S
2134800,1.13597,0.1875,S
2138400,1.13597,0.1875,S
2142000,0.98555,0.1875,P
2145600,0.98555,0.1875,P
2149200,0.63457,0.1875,F
2152800,0.63457,0.1875,F
2156400,0.63457,0.1875,F
2160000,0.63457,0.1875,F
2163600,0.63457,0.1875,F
2167200,0.28359,0.1875,V
2170800,0.28359,0.1875,V
2174400,0.28359,0.1875,V
2178000,0.28359,0.1875,V
2181600,0.63457,0.1875,F
2185200,0.98555,0.1875,P
2188800,0.98555,0.1875,P
2192400,0.63457,0.1875,F
2196000,0.28359,0.1875,V
2199600,0.18331,0.1875,D
2203200,0.18331,0.1875,D
2206800,0.18331,0.1875,D
2210400,0.28359,0.1875,V
2214000,0.63457,0.1875,F
2217600,1.13597,0.1875,S
2221200,1.13597,0.1875,S
2224800,1.13597,0.1875,S
2228400,0.98555,0.1875,P
2232000,0.98555,0.1875,P
2235600,0.63457,0.1875,F
2239200,0.63457,0.1875,F
2242800,0.63457,0.1875,F
2246400,0.63457,0.1875,F
2250000,0.63457,0.1875,F
2253600,0.28359,0.1875,V
2257200,0.28359,0.1875,V
2260800,0.28359,0.1875,V
2264400,0.28359,0.1875,V
2268000,0.63457,0.1875,F
2271600,0.98555,0.1875,P
2275200,0.98555,0.1875,P
2278800,0.63457,0.1875,F
2282400,0.28359,0.1875,V
2286000,0.18331,0.1875,D
2289600,0.18331,0.1875,D
2293200,0.18331,0.1875,D
2296800,0.28359,0.1875,V
2300400,0.63457,0.1875,F
2304000,1.13597,0.1875,S
2307600,1.13597,0.1875,S
